age,revenu_mensuel,statut_marital,nombre_experiences_precedentes,annees_dans_l_entreprise,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,genre_m,heure_supplementaires_oui,domaine_etude_entrepreunariat,domaine_etude_infra & cloud,domaine_etude_marketing,domaine_etude_ressources humaines,domaine_etude_transformation digitale,poste_departement_cadre commercial_commercial,poste_departement_consultant_consulting,poste_departement_directeur technique_consulting,poste_departement_manager_consulting,poste_departement_représentant commercial_commercial,poste_departement_ressources humaines_ressources humaines,poste_departement_senior manager_commercial,poste_departement_senior manager_consulting,poste_departement_senior manager_ressources humaines,poste_departement_tech lead_consulting
41,5993,0,8,6,2,3,4,1,1,0.11,0,0,1,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
49,5130,1,1,10,3,2,2,4,3,0.23,1,3,8,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2090,0,6,0,4,2,3,2,3,0.15,0,3,2,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,2909,1,1,8,4,3,3,3,3,0.11,0,3,3,4,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3468,1,9,2,1,3,2,4,3,0.12,1,3,2,1,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
32,3068,0,0,7,4,3,4,3,2,0.13,0,2,2,2,2,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
59,2670,1,4,1,3,4,1,1,2,0.2,3,3,3,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
30,2693,2,1,1,4,3,3,2,3,0.22,1,2,24,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
38,9526,0,0,9,4,2,3,2,3,0.21,0,2,23,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
36,5237,1,6,7,3,3,3,2,2,0.13,2,3,27,3,1,7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
35,2426,1,0,5,1,4,2,3,3,0.13,1,5,16,3,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
29,4193,0,0,9,4,2,3,4,3,0.12,0,3,15,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
31,2911,2,1,5,1,3,3,4,2,0.17,1,1,26,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2661,2,0,2,2,3,4,3,3,0.11,1,2,19,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
28,2028,0,5,4,3,2,3,2,3,0.14,0,4,24,3,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
29,9980,2,1,10,2,4,1,3,3,0.11,1,1,21,4,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
32,3298,2,0,6,1,4,2,4,2,0.12,2,5,5,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2935,2,1,1,4,4,4,2,2,0.13,2,2,16,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
53,15427,1,2,25,1,2,4,3,3,0.16,0,3,2,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
38,3944,0,5,3,4,3,4,3,3,0.11,0,3,2,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4011,2,0,4,1,4,3,4,2,0.18,1,5,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,3407,0,7,5,3,2,1,2,3,0.23,0,4,9,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
34,11994,0,0,12,1,3,2,3,3,0.11,0,4,7,4,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
21,1232,0,1,0,3,3,4,4,3,0.14,0,6,15,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2960,0,2,4,2,3,1,3,3,0.11,0,2,6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,19094,2,4,14,3,3,3,4,2,0.11,1,3,5,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,3919,0,1,10,2,1,1,2,3,0.22,0,5,16,1,2,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6825,1,0,9,3,3,2,4,3,0.11,1,2,8,4,1,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
44,10248,1,3,22,1,2,4,4,3,0.14,1,4,7,4,1,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
46,18947,0,3,2,2,3,1,4,2,0.12,0,2,2,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,2496,0,4,1,3,3,4,4,3,0.11,0,3,2,3,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
44,6465,1,2,4,4,3,4,4,4,0.13,0,5,10,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,2206,0,1,10,4,2,3,1,3,0.13,0,5,9,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
39,2086,1,3,1,4,3,4,3,4,0.14,1,6,5,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,2293,1,2,2,2,3,4,1,2,0.16,1,2,1,3,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,2645,2,1,5,4,4,3,4,2,0.12,2,3,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,2683,1,1,3,1,2,3,3,3,0.14,0,2,3,2,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
35,2014,1,1,2,4,3,4,1,3,0.13,0,3,2,3,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36,3419,1,9,1,2,2,1,4,4,0.14,1,3,5,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5376,1,2,5,3,4,1,1,3,0.19,2,3,1,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
35,1951,2,1,1,3,3,4,3,3,0.12,1,3,4,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,2341,2,1,1,4,3,1,4,3,0.13,1,6,2,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
26,2293,0,1,1,1,1,3,3,2,0.12,0,2,25,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
27,8726,0,1,9,4,3,3,4,3,0.15,0,0,8,3,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
30,4011,0,1,12,3,3,4,4,3,0.23,0,2,1,2,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
41,19545,1,1,22,2,3,3,4,3,0.12,0,0,12,3,1,15,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,4568,0,0,9,2,3,3,3,3,0.2,0,2,23,4,0,8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
37,3022,1,4,1,2,3,2,1,3,0.21,0,1,19,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,5772,0,4,9,1,3,4,3,3,0.21,0,4,5,4,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
35,2269,1,1,1,4,4,4,4,3,0.19,0,2,8,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
48,5381,0,9,1,1,2,3,4,3,0.13,0,2,1,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
28,3441,0,1,2,3,3,3,3,2,0.13,0,3,5,4,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,5454,2,5,4,2,3,1,3,2,0.21,1,2,1,5,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
35,9884,1,2,4,3,2,1,3,3,0.13,1,3,11,2,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
26,4157,1,7,2,3,2,4,3,2,0.19,1,2,23,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
33,13458,0,1,15,1,3,4,3,3,0.12,0,1,1,2,2,8,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
35,9069,1,1,9,2,3,1,4,2,0.22,1,3,18,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
35,4014,1,3,2,3,3,1,3,3,0.15,1,3,23,4,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
31,5915,2,3,7,4,3,4,4,2,0.22,1,3,7,4,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
37,5993,2,1,7,1,2,3,3,4,0.18,1,2,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
32,6162,1,1,9,1,3,4,2,3,0.22,1,3,1,3,1,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
38,2406,0,1,10,4,3,4,4,3,0.11,0,2,29,5,2,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
50,18740,2,5,27,2,2,3,4,2,0.12,1,2,7,2,1,13,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
59,7637,0,7,21,1,3,1,4,2,0.11,0,3,25,3,1,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
36,10096,2,1,17,3,3,3,2,3,0.13,3,2,8,3,1,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,14756,2,2,5,4,3,3,3,3,0.14,3,2,8,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
36,6499,0,1,6,2,2,2,3,3,0.13,0,3,11,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
45,9724,2,2,1,2,3,1,3,3,0.17,1,2,7,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2194,1,4,3,2,3,1,4,2,0.13,1,2,1,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,3388,1,0,1,4,2,3,1,2,0.17,1,0,9,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,5473,0,7,4,1,2,3,4,2,0.11,0,2,1,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
29,2703,1,0,5,3,3,2,4,3,0.23,1,3,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2501,0,1,1,3,3,2,2,3,0.17,0,4,1,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,6220,1,1,10,2,3,2,2,3,0.17,2,3,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3038,1,3,1,2,4,4,2,3,0.12,0,3,6,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
31,4424,0,1,11,3,3,4,4,3,0.23,0,2,8,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35,4312,0,0,15,3,2,1,2,3,0.14,0,2,1,4,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
45,13245,1,4,0,4,3,1,2,4,0.14,0,3,6,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,13664,0,4,5,1,3,3,1,4,0.13,0,3,7,4,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
46,5021,2,8,4,2,3,2,4,3,0.22,1,2,5,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
30,5126,1,1,10,4,2,4,3,2,0.12,2,1,1,1,1,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
35,2859,0,1,6,2,2,3,1,3,0.18,0,3,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,10239,1,3,1,1,3,4,4,3,0.14,1,4,1,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
38,5329,2,7,13,2,1,4,4,3,0.12,3,3,6,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,4325,1,1,5,1,3,2,3,3,0.15,0,2,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
56,7260,0,4,6,4,1,4,1,2,0.11,0,3,7,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
23,2322,2,3,0,3,3,1,3,3,0.13,1,3,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,2075,1,3,4,4,3,4,2,3,0.23,2,4,9,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
30,4152,1,1,11,3,2,4,1,3,0.19,3,3,2,3,1,10,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
46,9619,0,1,9,3,2,4,4,3,0.16,0,3,9,2,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
40,13503,1,1,22,3,2,2,4,2,0.22,1,3,1,4,2,11,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
51,5441,0,0,10,3,3,4,4,1,0.22,0,2,21,4,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
30,5209,2,1,11,3,2,2,2,2,0.12,3,4,4,2,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
46,10673,1,2,10,3,2,1,3,2,0.13,1,5,1,3,2,9,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
