id,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
1,41,f,5993,célibataire,commercial,cadre commercial,8,80,8,6,4,2,3,2,4,1,1,3,oui,0.11,oui,0,0,1,1,2,infra & cloud,y,occasionnel,0,5
2,49,m,5130,marié(e),consulting,assistant de direction,1,80,10,10,7,3,2,2,2,4,3,4,non,0.23,non,1,3,1,8,1,infra & cloud,y,frequent,1,7
4,37,m,2090,célibataire,consulting,consultant,6,80,7,0,0,4,2,1,3,2,3,3,oui,0.15,oui,0,3,1,2,2,autre,y,occasionnel,0,0
5,33,f,2909,marié(e),consulting,assistant de direction,1,80,8,8,7,4,3,1,3,3,3,3,oui,0.11,non,0,3,1,3,4,infra & cloud,y,frequent,3,0
7,27,m,3468,marié(e),consulting,consultant,9,80,6,2,2,1,3,1,2,4,3,3,non,0.12,non,1,3,1,2,1,transformation digitale,y,occasionnel,2,2
8,32,m,3068,célibataire,consulting,consultant,0,80,8,7,7,4,3,1,4,3,2,3,non,0.13,non,0,2,1,2,2,infra & cloud,y,frequent,3,6
10,59,f,2670,marié(e),consulting,consultant,4,80,12,1,0,3,4,1,1,1,2,4,oui,0.2,non,3,3,1,3,3,transformation digitale,y,occasionnel,0,0
11,30,m,2693,divorcé(e),consulting,consultant,1,80,1,1,0,4,3,1,3,2,3,4,non,0.22,non,1,2,1,24,1,infra & cloud,y,occasionnel,0,0
12,38,m,9526,célibataire,consulting,tech lead,0,80,10,9,7,4,2,3,3,2,3,4,non,0.21,non,0,2,1,23,3,infra & cloud,y,frequent,1,8
13,36,m,5237,marié(e),consulting,manager,6,80,17,7,7,3,3,2,3,2,2,3,non,0.13,non,2,3,1,27,3,transformation digitale,y,occasionnel,7,7
14,35,m,2426,marié(e),consulting,consultant,0,80,6,5,4,1,4,1,2,3,3,3,non,0.13,non,1,5,1,16,3,transformation digitale,y,occasionnel,0,3
